File 892: Started at 13:36:12, Finished at 13:39:23, Elapsed time: 191.297703305 seconds
File 540: Started at 13:36:11, Finished at 13:39:23, Elapsed time: 191.576516365 seconds
File 801: Started at 13:36:12, Finished at 13:39:23, Elapsed time: 191.520634192 seconds
File 101: Started at 13:36:11, Finished at 13:39:23, Elapsed time: 191.893710466 seconds
File 454: Started at 13:36:11, Finished at 13:39:23, Elapsed time: 191.829681641 seconds
File 654: Started at 13:36:11, Finished at 13:39:23, Elapsed time: 191.986257193 seconds
File 594: Started at 13:36:11, Finished at 13:39:24, Elapsed time: 192.102778413 seconds
File 535: Started at 13:36:11, Finished at 13:39:24, Elapsed time: 192.485180301 seconds
File 189: Started at 13:36:11, Finished at 13:39:24, Elapsed time: 192.700561164 seconds
File 929: Started at 13:36:12, Finished at 13:39:24, Elapsed time: 192.646081672 seconds
File 150: Started at 13:36:11, Finished at 13:39:24, Elapsed time: 193.015050176 seconds
File 582: Started at 13:36:11, Finished at 13:39:24, Elapsed time: 192.906047698 seconds
File 880: Started at 13:36:12, Finished at 13:39:24, Elapsed time: 192.815058588 seconds
File 327: Started at 13:36:11, Finished at 13:39:24, Elapsed time: 193.058605531 seconds
File 574: Started at 13:36:11, Finished at 13:39:24, Elapsed time: 193.017454291 seconds
File 587: Started at 13:36:11, Finished at 13:39:25, Elapsed time: 193.126028198 seconds
File 689: Started at 13:36:11, Finished at 13:39:25, Elapsed time: 193.168363121 seconds
File 423: Started at 13:36:11, Finished at 13:39:25, Elapsed time: 193.362315993 seconds
File 612: Started at 13:36:11, Finished at 13:39:25, Elapsed time: 193.287907037 seconds
File 495: Started at 13:36:11, Finished at 13:39:25, Elapsed time: 193.355451604 seconds
File 6: Started at 13:36:11, Finished at 13:39:25, Elapsed time: 193.677684612 seconds
File 282: Started at 13:36:11, Finished at 13:39:25, Elapsed time: 193.551199997 seconds
File 237: Started at 13:36:11, Finished at 13:39:25, Elapsed time: 193.631612435 seconds
File 446: Started at 13:36:11, Finished at 13:39:25, Elapsed time: 193.524270442 seconds
File 143: Started at 13:36:11, Finished at 13:39:25, Elapsed time: 193.670481635 seconds
File 971: Started at 13:36:12, Finished at 13:39:25, Elapsed time: 193.315234377 seconds
File 65: Started at 13:36:11, Finished at 13:39:25, Elapsed time: 193.733864781 seconds
File 344: Started at 13:36:11, Finished at 13:39:25, Elapsed time: 193.659671025 seconds
