File 157: Started at 13:12:33, Finished at 13:13:31, Elapsed time: 57.502296502 seconds
File 349: Started at 13:12:33, Finished at 13:13:31, Elapsed time: 57.548660532 seconds
File 295: Started at 13:12:33, Finished at 13:13:31, Elapsed time: 57.673354221 seconds
File 204: Started at 13:12:33, Finished at 13:13:32, Elapsed time: 58.199292458 seconds
File 255: Started at 13:12:33, Finished at 13:13:32, Elapsed time: 58.346201123 seconds
File 159: Started at 13:12:33, Finished at 13:13:32, Elapsed time: 58.354006246 seconds
File 373: Started at 13:12:33, Finished at 13:13:32, Elapsed time: 58.729541496 seconds
File 386: Started at 13:12:33, Finished at 13:13:32, Elapsed time: 58.739566009 seconds
File 309: Started at 13:12:33, Finished at 13:13:33, Elapsed time: 59.161645259 seconds
File 322: Started at 13:12:33, Finished at 13:13:33, Elapsed time: 59.316996193 seconds
File 236: Started at 13:12:33, Finished at 13:13:33, Elapsed time: 59.622263216 seconds
File 224: Started at 13:12:33, Finished at 13:13:33, Elapsed time: 60.003982968 seconds
File 221: Started at 13:12:33, Finished at 13:13:34, Elapsed time: 60.093397535 seconds
File 276: Started at 13:12:33, Finished at 13:13:34, Elapsed time: 60.252433822 seconds
File 208: Started at 13:12:33, Finished at 13:13:34, Elapsed time: 60.711372067 seconds
File 249: Started at 13:12:33, Finished at 13:13:34, Elapsed time: 60.786289711 seconds
File 376: Started at 13:12:33, Finished at 13:13:34, Elapsed time: 60.876345785 seconds
File 242: Started at 13:12:33, Finished at 13:13:35, Elapsed time: 61.270236308 seconds
File 337: Started at 13:12:33, Finished at 13:13:35, Elapsed time: 61.503656413 seconds
File 173: Started at 13:12:33, Finished at 13:13:35, Elapsed time: 61.711194790 seconds
File 370: Started at 13:12:33, Finished at 13:13:35, Elapsed time: 61.796456495 seconds
File 326: Started at 13:12:33, Finished at 13:13:35, Elapsed time: 62.008459101 seconds
File 356: Started at 13:12:33, Finished at 13:13:36, Elapsed time: 62.271842893 seconds
File 430: Started at 13:12:33, Finished at 13:13:36, Elapsed time: 62.599720600 seconds
File 207: Started at 13:12:33, Finished at 13:13:36, Elapsed time: 62.762799617 seconds
File 423: Started at 13:12:33, Finished at 13:13:36, Elapsed time: 62.968384753 seconds
File 68: Started at 13:12:33, Finished at 13:13:37, Elapsed time: 63.260134260 seconds
File 196: Started at 13:12:33, Finished at 13:13:37, Elapsed time: 63.429683967 seconds
File 274: Started at 13:12:33, Finished at 13:13:37, Elapsed time: 63.813394860 seconds
File 211: Started at 13:12:33, Finished at 13:13:37, Elapsed time: 63.869217725 seconds
File 163: Started at 13:12:33, Finished at 13:13:38, Elapsed time: 64.194157915 seconds
File 223: Started at 13:12:33, Finished at 13:13:38, Elapsed time: 64.254988068 seconds
File 347: Started at 13:12:33, Finished at 13:13:38, Elapsed time: 64.340667321 seconds
File 192: Started at 13:12:33, Finished at 13:13:38, Elapsed time: 64.810935464 seconds
File 267: Started at 13:12:33, Finished at 13:13:38, Elapsed time: 65.024321963 seconds
File 418: Started at 13:12:33, Finished at 13:13:39, Elapsed time: 65.206989938 seconds
File 171: Started at 13:12:33, Finished at 13:13:39, Elapsed time: 65.302969162 seconds
File 409: Started at 13:12:33, Finished at 13:13:39, Elapsed time: 65.689129583 seconds
File 269: Started at 13:12:33, Finished at 13:13:39, Elapsed time: 65.882273009 seconds
File 254: Started at 13:12:33, Finished at 13:13:40, Elapsed time: 66.223703941 seconds
File 120: Started at 13:12:33, Finished at 13:13:40, Elapsed time: 66.239157418 seconds
File 202: Started at 13:12:33, Finished at 13:13:40, Elapsed time: 66.437864016 seconds
File 391: Started at 13:12:33, Finished at 13:13:40, Elapsed time: 66.843964593 seconds
File 128: Started at 13:12:33, Finished at 13:13:40, Elapsed time: 66.942449966 seconds
File 372: Started at 13:12:33, Finished at 13:13:41, Elapsed time: 67.244935863 seconds
File 210: Started at 13:12:33, Finished at 13:13:41, Elapsed time: 67.299839483 seconds
File 282: Started at 13:12:33, Finished at 13:13:41, Elapsed time: 67.541140200 seconds
File 426: Started at 13:12:33, Finished at 13:13:41, Elapsed time: 67.831186586 seconds
File 336: Started at 13:12:33, Finished at 13:13:42, Elapsed time: 68.207935671 seconds
File 417: Started at 13:12:33, Finished at 13:13:42, Elapsed time: 68.362094271 seconds
File 215: Started at 13:12:33, Finished at 13:13:42, Elapsed time: 68.453715447 seconds
File 339: Started at 13:12:33, Finished at 13:13:42, Elapsed time: 68.664802047 seconds
File 156: Started at 13:12:33, Finished at 13:13:43, Elapsed time: 69.143303410 seconds
File 174: Started at 13:12:33, Finished at 13:13:43, Elapsed time: 69.303945740 seconds
File 351: Started at 13:12:33, Finished at 13:13:43, Elapsed time: 69.331195640 seconds
File 387: Started at 13:12:33, Finished at 13:13:43, Elapsed time: 69.852906179 seconds
File 213: Started at 13:12:33, Finished at 13:13:43, Elapsed time: 69.920743408 seconds
File 395: Started at 13:12:33, Finished at 13:13:43, Elapsed time: 69.998919327 seconds
File 407: Started at 13:12:33, Finished at 13:13:44, Elapsed time: 70.328790515 seconds
File 280: Started at 13:12:33, Finished at 13:13:44, Elapsed time: 70.381877274 seconds
File 279: Started at 13:12:33, Finished at 13:13:44, Elapsed time: 70.931176082 seconds
File 238: Started at 13:12:33, Finished at 13:13:45, Elapsed time: 71.204514157 seconds
File 402: Started at 13:12:33, Finished at 13:13:45, Elapsed time: 71.274287626 seconds
File 440: Started at 13:12:33, Finished at 13:13:45, Elapsed time: 71.229971317 seconds
File 162: Started at 13:12:33, Finished at 13:13:45, Elapsed time: 71.433013884 seconds
File 381: Started at 13:12:33, Finished at 13:13:45, Elapsed time: 71.683341268 seconds
File 247: Started at 13:12:33, Finished at 13:13:46, Elapsed time: 72.217055121 seconds
File 244: Started at 13:12:33, Finished at 13:13:46, Elapsed time: 72.433756124 seconds
File 286: Started at 13:12:33, Finished at 13:13:46, Elapsed time: 72.734199431 seconds
File 382: Started at 13:12:33, Finished at 13:13:46, Elapsed time: 72.900199495 seconds
File 324: Started at 13:12:33, Finished at 13:13:46, Elapsed time: 72.923711834 seconds
File 167: Started at 13:12:33, Finished at 13:13:46, Elapsed time: 72.998355059 seconds
