File 386: Started at 12:12:21, Finished at 12:12:23, Elapsed time: 1.245470762 seconds
File 227: Started at 12:12:21, Finished at 12:12:23, Elapsed time: 1.248005018 seconds
File 391: Started at 12:12:21, Finished at 12:12:23, Elapsed time: 1.235191017 seconds
File 281: Started at 12:12:21, Finished at 12:12:23, Elapsed time: 1.276244083 seconds
File 257: Started at 12:12:21, Finished at 12:12:23, Elapsed time: 1.287807239 seconds
File 338: Started at 12:12:21, Finished at 12:12:23, Elapsed time: 1.245739249 seconds
File 151: Started at 12:12:21, Finished at 12:12:23, Elapsed time: 1.280746287 seconds
File 297: Started at 12:12:21, Finished at 12:12:23, Elapsed time: 1.252432783 seconds
File 393: Started at 12:12:21, Finished at 12:12:23, Elapsed time: 1.256481641 seconds
File 150: Started at 12:12:21, Finished at 12:12:23, Elapsed time: 1.297113869 seconds
File 400: Started at 12:12:21, Finished at 12:12:23, Elapsed time: 1.255192328 seconds
File 148: Started at 12:12:21, Finished at 12:12:23, Elapsed time: 1.308793294 seconds
File 254: Started at 12:12:21, Finished at 12:12:23, Elapsed time: 1.250300125 seconds
File 82: Started at 12:12:21, Finished at 12:12:23, Elapsed time: 1.268970603 seconds
File 384: Started at 12:12:21, Finished at 12:12:23, Elapsed time: 1.280293921 seconds
File 175: Started at 12:12:21, Finished at 12:12:23, Elapsed time: 1.304377819 seconds
File 147: Started at 12:12:21, Finished at 12:12:23, Elapsed time: 1.300387021 seconds
File 60: Started at 12:12:21, Finished at 12:12:23, Elapsed time: 1.273509287 seconds
File 189: Started at 12:12:21, Finished at 12:12:23, Elapsed time: 1.304740147 seconds
